scenario,arm,success,duration_ms,model_calls,tokens,tool_calls,retries,coordination_failures
injected-http-500,single-agent,true,92,1,520,2,1,0
injected-http-500,multi-agent,true,37,4,1660,2,1,0
happy-path-3-steps,single-agent,true,38,1,520,3,0,0
happy-path-3-steps,multi-agent,true,35,4,1660,3,0,0
scale-1,single-agent,true,20,1,520,1,0,0
scale-1,multi-agent,true,16,4,1660,1,0,0
scale-5,single-agent,true,51,1,520,5,0,0
scale-5,multi-agent,true,49,4,1660,5,0,0
scale-10,single-agent,true,89,1,520,10,0,0
scale-10,multi-agent,true,85,4,1660,10,0,0
